Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2010,Observations_2011,Observations_2012,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Ablepharus kitaibelii,0,Animalia,Chordata,Squamata,,Scincidae,207989721,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0
Acer sempervirens,0,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,2287383,Least Concern,Unknown,0,0,0,0,0,0,0,0,2,0,0,0
Aegaeobuthus gibbosus,0,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,1
Allium commutatum,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,19174707,Least Concern,Stable,0,0,0,0,0,0,0,0,0,1,0,0
Ameles heldreichi,0,Animalia,Arthropoda,Insecta,Mantodea,Amelidae,44798432,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Anagyris foetida,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,119836473,Least Concern,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Apus apus,0,Animalia,Chordata,Aves,Apodiformes,Apodidae,166220766,Near Threatened,Decreasing,0,1,0,0,0,0,0,0,0,0,0,0
Arbutus unedo,0,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,68076133,Least Concern,Stable,0,0,0,0,0,0,0,1,0,0,0,0
Arctia festiva,0,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0
Argiope lobata,0,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Athene noctua,0,Animalia,Chordata,Aves,Strigiformes,Strigidae,210505328,Least Concern,Unknown,0,1,0,0,0,0,0,0,0,0,0,0
Bituminaria bituminosa,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Bufotes viridis,0,Animalia,Chordata,Amphibia,Anura,Bufonidae,200192160,Least Concern,Decreasing,0,0,0,0,1,0,0,0,0,0,0,0
Buteo buteo,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210507000,Least Concern,Stable,0,0,0,0,0,0,0,0,0,2,0,0
Capnodis tenebrionis,0,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Carduelis carduelis,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,199579742,Least Concern,Increasing,0,1,0,0,0,0,0,0,0,0,0,0
Cataglyphis nodus,0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Cecropis daurica,0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,264559502,Least Concern,Increasing,0,1,0,0,0,0,0,0,0,0,0,0
Cercis siliquastrum,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,109615355,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,1
Chloris chloris,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,166412593,Least Concern,Decreasing,0,1,0,0,0,0,0,0,0,0,0,0
Cistus parviflorus,0,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Cistus salviifolius,0,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Columba livia,1,Animalia,Chordata,Aves,Columbiformes,Columbidae,166230154,Least Concern,Unknown,0,1,0,0,0,0,0,0,0,0,0,0
Corvus cornix,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,Not Found,Unknown,Unknown,0,1,0,0,1,4,0,0,0,2,0,0
Corylus avellana,0,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,80567135,Least Concern,Stable,0,0,0,0,0,0,0,0,1,0,0,0
Cupressus sempervirens,0,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,83840476,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Curruca melanocephala,0,Animalia,Chordata,Aves,Passeriformes,Sylviidae,166388810,Least Concern,Stable,0,1,0,0,0,0,0,0,0,0,0,0
Cyanistes caeruleus,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264532201,Least Concern,Stable,0,1,0,0,0,0,0,0,0,0,0,0
Decticus albifrons,0,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,74536527,Least Concern,Increasing,0,0,0,0,1,0,0,0,0,0,0,0
Delichon urbicum,0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,264561964,Least Concern,Stable,0,1,0,0,0,0,0,0,0,0,0,0
Ecballium elaterium,0,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Elaphe quatuorlineata,0,Animalia,Chordata,Squamata,,Colubridae,204978521,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,4,0
Emberiza cirlus,0,Animalia,Chordata,Aves,Passeriformes,Emberizidae,166421322,Least Concern,Decreasing,0,3,0,0,0,0,0,0,0,0,0,0
Eusparassus walckenaeri,0,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Garrulus glandarius,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,196469765,Least Concern,Stable,0,1,0,0,1,1,0,0,0,0,0,0
Geolycosa vultuosa,0,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Helicoverpa armigera,0,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Not Found,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0
Hellenocarum multiflorum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0
Hemidactylus turcicus,0,Animalia,Chordata,Squamata,,Gekkonidae,205698798,Least Concern,Increasing,0,0,0,0,1,0,0,0,0,0,1,0
Hirundo rustica,0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,166369730,Least Concern,Decreasing,0,1,0,0,0,0,0,0,0,0,0,0
Hypericum perforatum,1,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,2762472,Least Concern,Stable,0,0,0,0,1,0,0,0,0,0,0,0
Iris unguicularis,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0
Larus michahellis,0,Animalia,Chordata,Aves,Charadriiformes,Laridae,166458471,Least Concern,Unknown,0,1,0,0,0,0,0,0,0,0,0,0
Lathyrus clymenum,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,120105865,Least Concern,Unknown,0,0,1,0,0,0,0,0,0,0,0,0
Lyristes plebejus,0,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Not Found,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0
Mediodactylus kotschyi,0,Animalia,Chordata,Squamata,,Gekkonidae,200133456,Least Concern,Unknown,0,0,0,0,1,0,0,0,0,0,0,0
Meles meles,0,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,215859004,Least Concern,Stable,0,0,0,1,0,0,0,0,0,0,0,0
Melica ciliata,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Merops apiaster,0,Animalia,Chordata,Aves,Coraciiformes,Meropidae,264578444,Least Concern,Stable,0,0,0,0,2,0,0,0,0,0,0,0
Nezara viridula,0,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Not Found,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0
Olea europaea,1,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,12601269,Data Deficient,Decreasing,0,0,0,0,0,0,0,0,1,0,0,0
Ophrys speculum,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,217034456,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Osyris alba,0,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0
Oxalis pes-caprae,1,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1
Pachyiulus flavipes,0,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Not Found,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0
Parus major,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264577711,Least Concern,Stable,0,1,0,0,3,0,0,0,0,0,1,0
Passer domesticus,1,Animalia,Chordata,Aves,Passeriformes,Passeridae,199147773,Least Concern,Decreasing,0,1,0,0,2,0,0,0,0,0,0,0
Pica pica,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,264575751,Least Concern,Stable,0,0,0,0,0,0,0,0,0,8,0,0
Pistacia lentiscus,0,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,2758261,Least Concern,Stable,0,0,0,0,0,0,1,1,0,0,0,0
Pistacia terebinthus,0,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,79913569,Least Concern,Stable,0,0,0,0,0,0,0,0,1,0,0,0
Podarcis peloponnesiacus,0,Animalia,Chordata,Squamata,,Lacertidae,137855826,Least Concern,Stable,0,0,0,0,0,0,0,0,1,0,0,0
Polistes hellenicus,0,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0,0
Quercus coccifera,0,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,2296598,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0
Rattus norvegicus,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,221339363,Not Applicable,Stable,0,0,0,0,1,0,0,0,0,0,0,0
Remiz pendulinus,0,Animalia,Chordata,Aves,Passeriformes,Remizidae,199571653,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,1,0,0
Reseda alba,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Resedaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Rivetina balcanica,0,Animalia,Arthropoda,Insecta,Mantodea,Rivetinidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Sambucus racemosa,0,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,135957650,Least Concern,Stable,0,0,0,0,1,0,0,0,0,0,0,0
Scolopendra cingulata,0,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0
Serinus serinus,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,166411537,Least Concern,Decreasing,0,1,0,0,0,0,0,0,0,0,0,0
Sitta neumayer,0,Animalia,Chordata,Aves,Passeriformes,Sittidae,166363065,Least Concern,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Streptopelia decaocto,1,Animalia,Chordata,Aves,Columbiformes,Columbidae,166435449,Least Concern,Stable,0,1,0,0,0,0,0,0,0,8,0,0
Tettigonia viridissima,0,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,74624843,Least Concern,Increasing,0,0,0,0,1,0,0,0,0,0,0,0
Thomisus onustus,0,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0
Trifolium fragiferum,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Trifolium stellatum,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Verbascum phlomoides,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,2766133,Least Concern,Stable,0,0,0,0,1,0,0,0,0,0,0,0
