Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2010,Observations_2013,Observations_2015,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Abies cephalonica,0,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,271966610,Least Concern,Stable,0,0,1,0,0,0,0,0,0,0,1,0
Ablepharus kitaibelii,0,Animalia,Chordata,Squamata,,Scincidae,207989721,Least Concern,Stable,0,0,0,0,0,0,0,0,1,1,3,0
Accipiter nisus,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210499136,Least Concern,Unknown,0,0,0,0,0,0,1,0,0,0,0,0
Acrida ungarica,0,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,70632622,Least Concern,Stable,0,0,0,0,0,0,0,0,0,3,5,0
Adiantum capillus-veneris,0,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,67770327,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,1,0
Aethionema saxatile,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,1,0
Aiolopus strepens,0,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,72593093,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Akis elongata,0,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
"Aleiodes Wesmael,",0,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
"Alopecosa Simon,",0,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Alopecosa albofasciata,0,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Ameles heldreichi,0,Animalia,Arthropoda,Insecta,Mantodea,Amelidae,44798432,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,2,1,0
Anacridium aegyptium,0,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,72594185,Least Concern,Stable,0,0,0,0,0,0,0,0,0,1,1,0
Anchusa undulata,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,1,0
Anemone blanda,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,0,0,1,0,0,1,0,0,0,0,0,0
Anemonoides blanda,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Anguis cephallonica,0,Animalia,Chordata,Squamata,,Anguidae,137846721,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,1,1,0
Antepipona deflenda,0,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0,0
Anthemis arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Anthocharis gruneri,0,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,211389647,Least Concern,Unknown,0,0,0,1,0,0,0,0,0,0,1,0
Anthriscus tenerrima,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0
Antirrhinum majus,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,2,0,0
"Aphaenogaster Mayr,",0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Apus apus,0,Animalia,Chordata,Aves,Apodiformes,Apodidae,166220766,Near Threatened,Decreasing,0,0,0,0,0,0,0,0,10,0,0,0
Araniella Chamberlin,0,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Arctia festiva,0,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,1,0,0
"Armadillidium Brandt,",0,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
"Artanes Thorell,",0,Animalia,Arthropoda,Arachnida,Araneae,Philodromidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1
Asparagus acutifolius,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,56501144,Least Concern,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Astragalus monspessulanus,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0
Aubrieta deltoidea,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,1,0,0,0,0
Barlia robertiana,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Not Found,Unknown,Unknown,0,0,2,0,0,1,0,0,0,0,2,0
"Bassaniodes Pocock,",0,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
"Blaps Fabricius,",0,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,2,0,0,0
Bubo bubo,0,Animalia,Chordata,Aves,Strigiformes,Strigidae,210506373,Least Concern,Increasing,0,0,0,0,0,0,0,0,1,0,0,0
Bufotes viridis,0,Animalia,Chordata,Amphibia,Anura,Bufonidae,200192160,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,0,2,0
Buteo buteo,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210507000,Least Concern,Stable,0,0,0,0,0,0,1,0,0,2,0,0
"Camponotus Mayr,",0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,1,0,0,0,0,0,0,0,0,0,0
Camponotus aethiops,0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,1,0,0,0,0,0,0,0,0,0,0
Carabus coriaceus,0,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,2,0,0
Cardiospermum halicacabum,0,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,82412355,Least Concern,Stable,0,0,0,0,0,0,0,1,0,0,0,0
Carduelis carduelis,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,199579742,Least Concern,Increasing,0,0,0,0,0,0,1,0,0,18,0,0
Cataglyphis nodus,0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Cecropis daurica,0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,264559502,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,5,0,0
Centaurea raphanina,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,225919606,Least Concern,Stable,0,0,0,0,0,0,0,0,0,1,0,0
Cephalanthera longifolia,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,7167753,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,2,0
"Cercopis Fabricius,",0,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Cerinthe major,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Certhia brachydactyla,0,Animalia,Chordata,Aves,Passeriformes,Certhiidae,264570778,Least Concern,Increasing,0,0,0,0,0,0,1,0,0,0,0,0
Cettia cetti,0,Animalia,Chordata,Aves,Passeriformes,Cettiidae,264547885,Least Concern,Stable,0,0,0,0,0,0,0,0,0,1,0,0
Chloris chloris,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,166412593,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,1,0,0
Chondrula bergeri,0,Animalia,Mollusca,Gastropoda,Stylommatophora,Enidae,220263686,Least Concern,Unknown,1,0,0,0,0,0,0,0,0,0,0,0
Chrysanthia varipes,0,Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,87312387,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Cichorium intybus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,6527012,Least Concern,Stable,0,0,0,0,1,0,0,0,0,0,0,0
Circaetus gallicus,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210508101,Least Concern,Unknown,0,0,0,0,0,0,0,0,2,0,0,0
Cistus creticus,0,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Cistus salviifolius,0,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Not Found,Unknown,Unknown,0,0,2,0,0,0,0,0,0,0,0,0
Clematis flammula,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,0,0,0,0,2,0,0,0,0,0,0,0
Clematis vitalba,1,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Clypeola jonthlaspi,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Coccinella septempunctata,0,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Colias croceus,0,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Columba livia,1,Animalia,Chordata,Aves,Columbiformes,Columbidae,166230154,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,15,0,0
Columba palumbus,0,Animalia,Chordata,Aves,Columbiformes,Columbidae,166231450,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,2,0,0
Convolvulus elegantissimus,0,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Coronilla scorpioides,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Corvus corax,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,166340260,Least Concern,Increasing,0,0,0,0,0,0,2,0,0,1,0,0
Corvus cornix,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,Not Found,Unknown,Unknown,0,0,0,2,0,0,0,0,20,27,0,0
Corvus monedula,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,166338407,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,3,0,0
Cotinus coggygria,1,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,119996147,Least Concern,Stable,0,0,0,0,0,0,0,1,0,0,0,0
Creoleon plumbeus,0,Animalia,Arthropoda,Insecta,Neuroptera,Myrmeleontidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Crepis rubra,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,1,0
Curruca cantillans,0,Animalia,Chordata,Aves,Passeriformes,Sylviidae,200219271,Least Concern,Increasing,0,0,0,0,0,0,1,0,0,1,0,0
Curruca communis,0,Animalia,Chordata,Aves,Passeriformes,Sylviidae,264551677,Least Concern,Increasing,0,0,0,0,0,0,0,0,4,5,0,0
Curruca curruca,0,Animalia,Chordata,Aves,Passeriformes,Sylviidae,264592510,Least Concern,Stable,0,0,0,0,0,0,0,0,1,0,0,0
Cyanistes caeruleus,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264532201,Least Concern,Stable,0,0,0,0,0,0,0,2,10,3,0,0
Cydnus aterrimus,0,Animalia,Arthropoda,Insecta,Hemiptera,Cydnidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Dasyscolia ciliata,0,Animalia,Arthropoda,Insecta,Hymenoptera,Scoliidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Daucus carota,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,19412090,Least Concern,Stable,0,0,0,0,0,0,1,0,0,0,0,0
Delichon urbicum,0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,264561964,Least Concern,Stable,0,0,0,0,0,0,0,0,6,26,0,0
Dendrocoptes medius,0,Animalia,Chordata,Aves,Piciformes,Picidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,2,0,0,0
Dolycoris baccarum,0,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Dorcadion brenskei,0,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,2,0
Dorcadion quadrimaculatum,0,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Dysauxes famula,0,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Echinops sphaerocephalus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0
Eilema complana,0,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Emberiza calandra,0,Animalia,Chordata,Aves,Passeriformes,Emberizidae,166426657,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,30,0,0
Emberiza cirlus,0,Animalia,Chordata,Aves,Passeriformes,Emberizidae,166421322,Least Concern,Decreasing,0,0,0,0,0,0,2,0,0,1,0,0
Emberiza melanocephala,0,Animalia,Chordata,Aves,Passeriformes,Emberizidae,264569626,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Eremophila alpestris,0,Animalia,Chordata,Aves,Passeriformes,Alaudidae,166397043,Least Concern,Unknown,0,0,0,0,0,0,6,0,0,0,0,0
Erithacus rubecula,0,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,166350059,Least Concern,Stable,0,0,0,0,0,0,0,1,0,0,0,0
Eryngium campestre,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,1,0
Euonymus europaeus,0,Plantae,Tracheophyta,Magnoliopsida,Celastrales,Celastraceae,119836513,Least Concern,Stable,0,0,0,0,0,0,1,0,0,0,0,0
Euphorbia apios,0,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0
Eurydema oleracea,0,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Falco peregrinus,0,Animalia,Chordata,Aves,Falconiformes,Falconidae,210513652,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,3,0,0
Falco tinnunculus,0,Animalia,Chordata,Aves,Falconiformes,Falconidae,210515355,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Forficula auricularia,0,Animalia,Arthropoda,Insecta,Dermaptera,Forficulidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Fringilla coelebs,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,166409759,Least Concern,Stable,0,0,0,0,0,0,3,8,0,14,0,0
Frontinellina frutetorum,0,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,1,0,0,0,0
Fulica atra,0,Animalia,Chordata,Aves,Gruiformes,Rallidae,166239776,Near Threatened,Decreasing,0,0,0,20,0,0,0,0,0,0,0,0
Galerida cristata,0,Animalia,Chordata,Aves,Passeriformes,Alaudidae,264572635,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,2,0,0
Gallinula chloropus,0,Animalia,Chordata,Aves,Gruiformes,Rallidae,166459135,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,1,0,0
Garrulus glandarius,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,196469765,Least Concern,Stable,0,0,0,0,0,0,1,1,8,17,0,0
Geolycosa vultuosa,0,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1
Glaucopsyche alexis,0,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,211406880,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0
Gryllomorpha dalmatina,0,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,74518522,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Gryllomorpha miramae,0,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,70567727,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Gryllus bimaculatus,0,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,74519241,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Habropoda tarsata,0,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,21462934,Least Concern,Stable,0,0,0,0,0,0,0,0,0,1,0,0
Heliotropium europaeum,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Heliotropiaceae,Not Found,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0
Hellenolacerta graeca,0,Animalia,Chordata,Squamata,,Lacertidae,137852588,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Hemidactylus turcicus,0,Animalia,Chordata,Squamata,,Gekkonidae,205698798,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,1,1,0
Hierophis gemonensis,0,Animalia,Chordata,Squamata,,Colubridae,137851210,Least Concern,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Hirundo rustica,0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,166369730,Least Concern,Decreasing,0,0,0,2,0,0,0,0,10,26,0,0
Hister quadrimaculatus,0,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1
Hogna radiata,0,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Hybalus graecus,0,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1
Hyla arborea,0,Animalia,Chordata,Amphibia,Anura,Hylidae,228182338,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,0,1,0
Hypericum empetrifolium,0,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Iris unguicularis,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Not Found,Unknown,Unknown,0,0,1,0,0,1,0,0,2,1,1,1
Isabellaria saxicola,0,Animalia,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,233625601,Least Concern,Unknown,1,0,0,0,0,0,0,0,0,0,0,0
Juglans regia,0,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,61526700,Least Concern,Unknown,0,0,0,0,0,0,0,1,0,0,0,0
